0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	id	path	cell	gene	hoco_tf	tf
14	8	9	9	11	7	14	12	9	6	10	13	9	5	12	10	15	10	8	11	9	12	9	11	11	10	10	12	11	6	8	5	9	8	9	13	5	8	15	11	7	8	7	12	15	15	14	7	10	9	9	11	11	6	12	12	14	6	11	13	14	16	13	11	10	9	9	17	22	38	63	109	229	359	550	530	376	213	118	60	31	27	22	9	8	11	8	6	12	20	14	5	17	12	11	6	11	7	10	16	17	16	12	11	13	13	13	15	6	15	5	8	12	9	14	9	11	8	6	11	11	12	12	8	8	10	6	11	11	11	11	8	9	10	5	10	8	14	7	7	9	9	9	8	16	10	10	12	9	10	8431_GATA2_K562_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/K562/8431_GATA2_K562_3_3	K562	GATA2	GATA2	GATA2_HUMAN.H11MO.0.A
11	4	7	5	6	6	11	11	5	7	8	4	8	8	7	6	8	9	15	4	6	8	9	10	8	6	10	4	12	15	8	11	5	7	4	4	10	7	2	6	7	6	6	9	3	7	8	9	16	6	8	6	5	6	15	7	3	6	10	6	5	6	3	14	7	9	13	14	12	7	10	15	17	32	41	35	27	25	18	12	7	13	11	10	9	8	5	7	15	5	8	7	11	7	14	9	10	9	8	12	5	9	9	6	11	8	12	10	7	9	7	3	6	5	10	11	12	8	9	5	11	8	5	8	7	8	4	9	13	2	5	6	4	9	3	5	6	11	4	6	14	9	5	9	3	8	11	6	11	14	51513_NANOG_HUES64_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/51513_NANOG_HUES64_3_3	HUES64	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
16	21	16	24	14	20	23	17	13	21	23	19	19	14	21	15	16	19	22	23	16	24	21	16	17	15	21	18	15	19	20	19	19	16	15	16	15	26	13	13	16	13	9	19	16	21	21	18	10	16	16	13	20	13	23	18	16	14	13	16	19	14	13	23	14	19	19	22	16	33	33	32	49	61	80	78	58	32	28	28	22	26	13	11	18	17	14	20	22	16	17	18	15	18	29	18	24	19	17	16	19	14	15	14	21	21	20	16	20	16	26	15	14	16	13	12	14	24	18	19	17	20	12	13	18	19	13	21	19	15	14	23	21	13	15	17	14	16	22	23	16	23	18	19	15	23	13	21	13	17	46173_NANOG_H1_2_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/46173_NANOG_H1_2_3	H1	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
6	7	3	6	5	9	7	8	10	11	4	9	7	11	6	7	4	10	17	11	6	7	9	12	5	10	9	13	12	10	9	11	13	8	6	6	8	7	9	10	5	11	3	9	13	12	11	8	8	13	9	7	6	9	10	12	6	16	6	6	9	7	6	9	13	12	17	11	8	8	15	19	22	37	52	42	33	25	22	11	15	15	8	9	16	9	12	8	14	6	6	12	13	15	10	11	14	8	7	12	7	15	11	4	16	13	14	9	8	9	7	10	8	9	10	10	10	6	13	9	5	12	11	14	5	13	8	14	7	8	6	8	7	10	4	7	6	9	13	10	8	13	10	12	8	9	13	9	10	9	34089_NANOG_HUES64_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/34089_NANOG_HUES64_3_3	HUES64	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
10	5	6	5	5	8	9	12	6	5	8	6	5	9	7	4	3	13	10	6	7	9	6	12	7	4	8	5	13	11	6	8	6	6	3	4	13	5	3	5	8	7	7	6	6	8	6	8	15	9	4	6	8	5	15	7	2	4	9	8	3	4	4	12	8	13	10	12	11	7	12	10	19	29	38	37	27	24	12	10	9	14	10	8	9	8	6	6	11	6	9	5	11	11	12	6	11	9	9	11	5	12	10	5	8	10	12	10	6	9	7	3	6	7	8	13	9	4	10	3	9	8	6	8	7	4	5	9	10	3	6	5	4	8	3	6	7	8	7	6	13	9	5	6	4	8	13	6	11	13	34102_NANOG_HUES64_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/34102_NANOG_HUES64_3_3	HUES64	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
5	7	6	5	5	8	9	7	11	9	6	9	7	11	7	9	5	8	17	11	7	6	11	10	5	10	7	14	11	10	11	11	12	11	4	6	10	5	9	9	10	8	5	10	11	12	11	9	10	12	10	8	4	10	9	10	8	17	5	9	8	7	10	9	11	13	17	9	8	10	10	21	24	38	49	42	37	31	19	11	17	15	10	10	15	9	13	9	14	10	6	11	16	10	10	11	12	9	9	12	9	15	13	3	15	14	12	12	12	5	10	7	8	10	11	9	8	10	11	9	6	13	12	11	7	11	10	14	7	7	7	7	9	10	3	9	5	10	10	8	12	14	10	13	9	9	13	9	11	12	51516_NANOG_HUES64_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/51516_NANOG_HUES64_3_3	HUES64	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
5	6	3	5	2	1	4	6	5	8	4	9	0	2	1	2	8	7	4	5	7	6	6	5	1	4	7	4	3	5	7	5	5	4	8	5	4	5	4	3	3	4	2	4	5	8	7	6	4	5	8	1	5	7	5	5	4	7	5	5	8	6	7	6	6	5	3	3	5	9	7	11	15	18	34	27	25	20	18	10	7	11	9	6	13	6	2	4	4	5	5	5	7	7	4	8	5	4	5	8	6	2	5	8	4	5	10	5	9	4	4	3	5	6	5	5	7	5	3	2	5	2	4	6	5	5	6	5	3	5	3	3	7	3	4	3	4	6	7	4	7	6	8	5	5	4	8	6	6	5	51520_NANOG_HUES64_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/51520_NANOG_HUES64_3_3	HUES64	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
6	4	4	4	5	3	3	6	4	5	6	5	4	3	2	2	5	6	3	7	9	5	6	2	6	8	5	5	1	3	7	3	4	3	5	3	5	3	7	6	6	3	4	4	7	4	3	8	3	4	1	2	7	2	4	6	3	7	6	2	4	3	4	6	4	5	5	2	7	7	6	14	17	17	22	14	12	12	13	5	9	3	5	5	5	4	4	1	8	5	2	10	8	2	2	6	7	2	5	2	5	1	7	3	5	7	5	3	6	9	6	2	4	2	6	8	5	6	6	2	5	3	3	2	10	7	5	1	6	5	4	1	5	3	3	4	4	7	5	5	5	3	5	6	4	6	3	3	5	6	51518_NANOG_HUES64_2_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/51518_NANOG_HUES64_2_3	HUES64	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
19	18	12	12	11	14	14	18	15	10	23	13	15	7	7	12	13	11	21	16	12	16	17	11	11	8	15	14	13	14	14	10	10	13	9	10	14	15	12	13	9	11	10	14	13	11	10	16	19	11	10	13	10	14	16	12	16	10	7	13	12	11	18	16	15	15	12	16	17	20	24	25	41	55	67	96	59	54	22	16	13	14	19	20	15	13	12	14	22	7	12	11	18	17	17	10	13	8	14	6	15	18	11	18	9	14	22	10	13	13	15	7	14	11	14	12	11	8	14	14	16	14	10	10	14	13	15	9	18	6	11	10	13	11	10	11	16	13	12	18	12	18	13	11	16	14	14	10	16	17	86533_NANOG_None_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/86533_NANOG_None_3_3	None	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
12	8	4	8	11	11	6	5	9	9	8	8	10	8	4	10	8	10	4	15	7	7	8	11	4	5	4	8	9	5	7	11	8	5	2	7	12	12	10	7	10	5	6	6	9	8	12	11	6	6	6	11	8	10	8	11	5	6	6	6	9	6	10	6	8	8	15	9	7	8	16	19	31	42	41	60	49	36	19	17	12	11	19	10	7	6	10	7	11	11	7	5	12	9	11	7	13	7	12	4	6	6	11	9	9	5	13	5	10	6	5	15	9	5	7	8	6	8	11	4	7	6	8	9	9	8	2	10	8	7	9	12	10	2	1	4	3	13	8	13	15	10	11	9	5	7	9	8	8	9	86534_NANOG_H9_3_3	/scratch/Users/tajo5912/capplication_v3/cistrome_rbg/ESC/86534_NANOG_H9_3_3	H9	NANOG	NANOG	NANOG_HUMAN.H11MO.0.A
