"","SRR3728891","SRR3728890","SRR3728893","SRR3728892"
"ABCA9-AS1;NR_126414.1",1.3280626215972,0,0,0
"ABCB1;NM_000927.5",1.3280626215972,0.885654776694035,3.79961090582593,6.17654989315091
"ABCB10;NM_012089.3",256.316085968259,232.927206270531,190.930448017753,175.590489819576
"ABCB11;NM_003742.4",1.3280626215972,2.65696433008211,0,0.88236427045013
"ABCB4;NM_000443.4",10.6245009727776,9.74220254363439,2.84970817936945,5.29418562270078
"ABCB5;NM_178559.6",2.6561252431944,1.77130955338807,2.84970817936945,3.52945708180052
"ABCB6;NM_005689.4",77.0276320526375,98.3076802130379,76.942120842975,59.1184061201587
"ABCB7;NM_004299.6",317.40696656173,333.006196036957,359.06323060055,332.651329959699
"ABCB8;NM_007188.5",193.897142753191,187.758812659135,163.383268950515,148.237197435622
"ABCB9;NM_019624.4",150.071076240483,144.361728601128,99.7397862779306,68.8244130951102
"ABCC1;NM_004996.4",1171.35123224873,1179.69216255646,1844.71109477849,1726.78687727091
"ABCC10;NM_001198934.2",219.130332563538,239.12678970739,214.678016179165,219.708703342082
"ABCC11;NM_001370497.1",25.2331898103468,27.4552980775151,39.8959145111722,55.5889490383582
"ABCC12;NM_001392028.1",1.3280626215972,0,1.89980545291296,2.64709281135039
"ABCC13;NR_003087.1",0,0,0,0
"ABCC2;NM_000392.5",9.29643835118038,8.85654776694035,3.79961090582593,7.05891416360104
"ABCC3;NM_003786.4",6.64031310798599,10.6278573203284,10.4489299910213,16.7649211385525
"ABCC4;NM_005845.5",2525.97510627787,2548.02879254874,2791.7641130556,2793.56528024511
"ABCC5;NM_001023587.3",289.517651508189,321.492683939935,199.479572555861,196.767232310379
"ABCC5-AS1;NR_046570.1",18.5928767023608,9.74220254363439,6.64931908519537,4.41182135225065
"ABCC6;NM_001171.6",27.8893150535412,28.3409528542091,5.69941635873889,11.4707355158517
"ABCC6P1;NR_003569.1",3.98418786479159,5.31392866016421,2.84970817936945,0.88236427045013
"ABCC6P2;NR_023387.2",0,0,0,0
"ABCC8;NM_000352.6",61.0908805934711,89.4511324460976,38.9460117847158,40.588756440706
"ABCC9;NM_005691.4",7.96837572958319,2.65696433008211,6.64931908519537,5.29418562270078
"ABCD1;NM_000033.4",167.335890321247,161.189169358314,116.838035354147,136.76646191977
"ABCD2;NM_001412792.1",1.3280626215972,1.77130955338807,0.949902726456482,1.76472854090026
"ABCD3;NM_001122674.2",593.643991853947,609.330486365496,403.708658744005,402.358107325259
"ABCD4;NM_005050.4",119.525635943748,140.819109494352,114.938229901234,107.648440994916
"ABCE1;NM_002940.3",488.727044747769,440.170424016936,568.991733147433,607.94898234014
"ABCF1;NM_001090.3",208.50583159076,237.355480154001,382.810798761962,397.946285973009
